,ps_pair,temp,chi,polymer_class,ps_pair_nonCyclic
0,[H]/C1=C(/Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C1([H])[H]_ClC(Cl)(Cl)Cl,100.0,0.22973605045701964,polychlorox,*C/C=C(\Cl)C*_ClC(Cl)(Cl)Cl
1,[H]/C1=C(/Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C1([H])[H]_[H]C(Cl)(Cl)Cl,100.0,0.14254928755447274,polychlorox,*C/C=C(\Cl)C*_[H]C(Cl)(Cl)Cl
2,[H]/C1=C(/Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C1([H])[H]_[H]C(Cl)=C(Cl)Cl,100.0,0.17035721917785862,polychlorox,*C/C=C(\Cl)C*_[H]C(Cl)=C(Cl)Cl
3,[H]/C1=C(/Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C1([H])[H]_[H]C([H])(Cl)C([H])([H])Cl,100.0,1.472343078853371,polychlorox,*C/C=C(\Cl)C*_[H]C([H])(Cl)C([H])([H])Cl
4,[H]/C1=C(/Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C1([H])[H]_[H]C([H])(Cl)Cl,100.0,0.5710546628857546,polychlorox,*C/C=C(\Cl)C*_[H]C([H])(Cl)Cl
5,[H]/C1=C(/Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C1([H])[H]_[H]C([H])([H])C(=O)C([H])([H])C([H])([H])[H],100.0,0.9904043289273446,polychlorox,*C/C=C(\Cl)C*_[H]C([H])([H])C(=O)C([H])([H])C([H])([H])[H]
6,[H]/C1=C(/Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C1([H])[H]_[H]C([H])([H])C(=O)C([H])([H])[H],100.0,1.0204908030631792,polychlorox,*C/C=C(\Cl)C*_[H]C([H])([H])C(=O)C([H])([H])[H]
7,[H]/C1=C(/Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C1([H])[H]_[H]C([H])([H])C(=O)OC([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],100.0,0.7101486344149408,polychlorox,*C/C=C(\Cl)C*_[H]C([H])([H])C(=O)OC([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]
8,[H]/C1=C(/Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C1([H])[H]_[H]C([H])([H])C(=O)OC([H])([H])C([H])([H])C([H])([H])[H],100.0,0.6967486436465379,polychlorox,*C/C=C(\Cl)C*_[H]C([H])([H])C(=O)OC([H])([H])C([H])([H])C([H])([H])[H]
9,[H]/C1=C(/Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C1([H])[H]_[H]C([H])([H])C(=O)OC([H])([H])C([H])([H])[H],100.0,0.8289066969200111,polychlorox,*C/C=C(\Cl)C*_[H]C([H])([H])C(=O)OC([H])([H])C([H])([H])[H]
