,ps_pair,ps_pair_nonCyclic,temp,chi,polymer_class,DIFF,SIGN2,SIGN3
0,[H]/C1=C(/Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C1([H])[H]_ClC(Cl)(Cl)Cl,*C/C=C(\Cl)C*_ClC(Cl)(Cl)Cl,100,0.23,polychlorox,,,
1,[H]/C1=C(/Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C1([H])[H]_[H]C(Cl)(Cl)Cl,*C/C=C(\Cl)C*_[H]C(Cl)(Cl)Cl,100,0.28,polychlorox,,,
2,[H]/C1=C(/Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C1([H])[H]_[H]C(Cl)=C(Cl)Cl,*C/C=C(\Cl)C*_[H]C(Cl)=C(Cl)Cl,100,0.24,polychlorox,,,
3,[H]/C1=C(/Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C1([H])[H]_[H]C([H])(Cl)C([H])([H])Cl,*C/C=C(\Cl)C*_[H]C([H])(Cl)C([H])([H])Cl,100,0.48,polychlorox,,,
4,[H]/C1=C(/Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C1([H])[H]_[H]C([H])(Cl)Cl,*C/C=C(\Cl)C*_[H]C([H])(Cl)Cl,100,0.43,polychlorox,,,
5,[H]/C1=C(/Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C1([H])[H]_[H]C([H])([H])C(=O)C([H])([H])C([H])([H])[H],*C/C=C(\Cl)C*_[H]C([H])([H])C(=O)C([H])([H])C([H])([H])[H],100,0.61,polychlorox,,,
6,[H]/C1=C(/Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C1([H])[H]_[H]C([H])([H])C(=O)C([H])([H])[H],*C/C=C(\Cl)C*_[H]C([H])([H])C(=O)C([H])([H])[H],100,0.87,polychlorox,,,
7,[H]/C1=C(/Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C1([H])[H]_[H]C([H])([H])C(=O)OC([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],*C/C=C(\Cl)C*_[H]C([H])([H])C(=O)OC([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],100,0.44,polychlorox,,,
8,[H]/C1=C(/Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C1([H])[H]_[H]C([H])([H])C(=O)OC([H])([H])C([H])([H])C([H])([H])[H],*C/C=C(\Cl)C*_[H]C([H])([H])C(=O)OC([H])([H])C([H])([H])C([H])([H])[H],100,0.51,polychlorox,,,
9,[H]/C1=C(/Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C1([H])[H]_[H]C([H])([H])C(=O)OC([H])([H])C([H])([H])[H],*C/C=C(\Cl)C*_[H]C([H])([H])C(=O)OC([H])([H])C([H])([H])[H],100,0.64,polychlorox,,,
10,[H]/C1=C(/Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C1([H])[H]_[H]C([H])([H])C(Cl)(Cl)Cl,*C/C=C(\Cl)C*_[H]C([H])([H])C(Cl)(Cl)Cl,100,0.21,polychlorox,,,
11,[H]/C1=C(/Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C1([H])[H]_[H]C([H])([H])C([H])(Cl)Cl,*C/C=C(\Cl)C*_[H]C([H])([H])C([H])(Cl)Cl,100,0.37,polychlorox,,,
12,[H]/C1=C(/Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C1([H])[H]_[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],*C/C=C(\Cl)C*_[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],100,0.96,polychlorox,,,
